Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            0,     0.8266509, ,             0,     0.7826984, ,             0,     0.7733578, ,             0,      1.049446, ,             0,      0.951107, , 
          0.2,     0.8196694, ,           0.2,     0.7771517, ,           0.2,      0.767882, ,           0.2,      1.034924, ,           0.2,     0.9386563, , 
          0.4,     0.8135251, ,           0.4,     0.7726555, ,           0.4,     0.7636107, ,           0.4,      1.027462, ,           0.4,     0.9279459, , 
          0.6,     0.8081315, ,           0.6,     0.7687546, ,           0.6,     0.7599922, ,           0.6,      1.015362, ,           0.6,     0.9177419, , 
          0.8,     0.8033911, ,           0.8,     0.7653916, ,           0.8,      0.756893, ,           0.8,       1.00434, ,           0.8,     0.9085785, , 
            1,     0.7992467, ,             1,     0.7625828, ,             1,     0.7543716, ,             1,     0.9942814, ,             1,     0.9003587, , 
          1.2,     0.7956282, ,           1.2,      0.760091, ,           1.2,     0.7521451, ,           1.2,      0.985134, ,           1.2,     0.8930481, , 
          1.4,     0.7924861, ,           1.4,     0.7580415, ,           1.4,     0.7502932, ,           1.4,     0.9768211, ,           1.4,     0.8865325, , 
          1.6,     0.7897898, ,           1.6,     0.7563514, ,           1.6,      0.748821, ,           1.6,     0.9705251, ,           1.6,     0.8812999, , 
          1.8,     0.7874965, ,           1.8,     0.7549963, ,           1.8,     0.7476686, ,           1.8,      0.964168, ,           1.8,     0.8762326, , 
            2,     0.7855684, ,             2,     0.7539392, ,             2,     0.7468096, ,             2,     0.9598285, ,             2,     0.8718011, , 
          2.2,     0.7839655, ,           2.2,     0.7531475, ,           2.2,     0.7461894, ,           2.2,     0.9547758, ,           2.2,     0.8678989, , 
          2.4,     0.7826616, ,           2.4,     0.7525968, ,           2.4,     0.7458058, ,           2.4,     0.9508073, ,           2.4,     0.8645119, , 
          2.6,     0.7816376, ,           2.6,     0.7522673, ,           2.6,     0.7456307, ,           2.6,     0.9475025, ,           2.6,     0.8615975, , 
          2.8,     0.7808767, ,           2.8,     0.7521587, ,           2.8,     0.7456558, ,           2.8,     0.9444986, ,           2.8,     0.8591083, , 
            3,     0.7803633, ,             3,     0.7522569, ,             3,     0.7458683, ,             3,     0.9422071, ,             3,     0.8570093, , 
          3.2,     0.7800754, ,           3.2,     0.7524856, ,           3.2,     0.7462418, ,           3.2,     0.9411016, ,           3.2,      0.855268, , 
          3.4,      0.779996, ,           3.4,     0.7553971, ,           3.4,     0.7494432, ,           3.4,     0.9561706, ,           3.4,     0.8794804, , 
          3.6,     0.7801027, ,           3.6,     0.7559501, ,           3.6,     0.7501042, ,           3.6,     0.9601078, ,           3.6,     0.8826789, , 
          3.8,     0.7803845, ,           3.8,     0.7566532, ,           3.8,     0.7509056, , , , , , , , 
            4,     0.7808306, ,             4,     0.7574906, ,             4,     0.7518359, , , , , , , , 
          4.2,     0.7814312, ,           4.2,     0.7584544, ,           4.2,      0.752888, , , , , , , , 
          4.4,       0.78217, ,           4.4,     0.7595336, ,           4.4,     0.7540506, , , , , , , , 
          4.6,     0.7830393, ,           4.6,     0.7607259, ,           4.6,     0.7553194, , , , , , , , 
, , ,           4.8,      0.764754, ,           4.8,     0.7584254, , , , , , , , 
, , ,             5,     0.7661166, ,             5,      0.759865, , , , , , , , 
, , ,           5.2,     0.7675732, ,           5.2,     0.7613926, , , , , , , , 
, , ,           5.4,     0.7704516, ,           5.4,     0.7630145, , , , , , , , 
, , ,           5.6,     0.7721028, ,           5.6,     0.7647385, , , , , , , , 
, , ,           5.8,     0.7738104, ,           5.8,     0.7665236, , , , , , , , 
, , ,             6,     0.7758845, ,             6,     0.7683813, , , , , , , , 

