Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
            0,       1.41772, ,             0,      1.354257, ,             0,      1.305489, ,             0,      1.275176, ,             0,      1.254452, ,             0,      1.248375, ,             0,      1.689575, ,             0,      1.614969, ,             0,      1.504456, , 
          0.2,      1.393684, ,           0.2,      1.328946, ,           0.2,      1.282679, ,           0.2,      1.254977, ,           0.2,      1.235875, ,           0.2,      1.229407, ,           0.2,      1.665047, ,           0.2,      1.591029, ,           0.2,      1.480155, , 
          0.4,      1.372631, ,           0.4,      1.308136, ,           0.4,      1.264751, ,           0.4,       1.23962, ,           0.4,      1.222369, ,           0.4,      1.215557, ,           0.4,      1.642479, ,           0.4,      1.569163, ,           0.4,       1.45834, , 
          0.6,      1.353661, ,           0.6,      1.290475, ,           0.6,      1.249714, ,           0.6,      1.226203, ,           0.6,      1.211069, ,           0.6,      1.204541, ,           0.6,      1.621729, ,           0.6,      1.549184, ,           0.6,      1.438886, , 
          0.8,      1.337371, ,           0.8,      1.275386, ,           0.8,      1.236567, ,           0.8,      1.215297, ,           0.8,      1.201133, ,           0.8,      1.195278, ,           0.8,      1.602633, ,           0.8,      1.530891, ,           0.8,      1.421423, , 
            1,      1.322979, ,             1,       1.26369, ,             1,      1.226223, ,             1,      1.205886, ,             1,      1.192314, ,             1,      1.187235, ,             1,      1.585045, ,             1,      1.514163, ,             1,      1.405655, , 
          1.2,      1.310476, ,           1.2,      1.251357, ,           1.2,      1.217477, ,           1.2,      1.198341, ,           1.2,      1.185312, ,           1.2,      1.180064, ,           1.2,      1.568851, ,           1.2,      1.498885, ,           1.2,      1.391468, , 
          1.4,      1.299681, ,           1.4,       1.24244, ,           1.4,      1.210059, ,           1.4,      1.192068, ,           1.4,      1.179572, ,           1.4,      1.174644, ,           1.4,      1.553969, ,           1.4,      1.484909, ,           1.4,      1.378762, , 
          1.6,      1.289333, ,           1.6,      1.234832, ,           1.6,      1.203683, ,           1.6,      1.185751, ,           1.6,      1.174922, ,           1.6,      1.170205, ,           1.6,      1.540261, ,           1.6,      1.472116, ,           1.6,      1.367427, , 
          1.8,      1.280957, ,           1.8,      1.228131, ,           1.8,      1.197187, ,           1.8,       1.18066, ,           1.8,       1.16963, ,           1.8,      1.165117, ,           1.8,      1.527663, ,           1.8,      1.460414, ,           1.8,      1.357288, , 
            2,      1.273773, ,             2,        1.2218, ,             2,      1.192348, ,             2,      1.176907, ,             2,       1.16611, ,             2,      1.161868, ,             2,      1.516089, ,             2,      1.449707, ,             2,      1.348193, , 
          2.2,      1.267886, ,           2.2,      1.217114, ,           2.2,      1.188538, ,           2.2,      1.173987, ,           2.2,      1.163163, ,           2.2,      1.159194, ,           2.2,      1.505784, ,           2.2,       1.44034, ,           2.2,      1.340666, , 
          2.4,      1.262641, ,           2.4,      1.213123, ,           2.4,       1.18539, ,           2.4,      1.171466, ,           2.4,      1.161244, ,           2.4,      1.157132, ,           2.4,       1.49617, ,           2.4,       1.43151, ,           2.4,      1.333264, , 
          2.6,      1.258186, ,           2.6,      1.209937, ,           2.6,      1.182787, ,           2.6,      1.169497, ,           2.6,      1.159904, ,           2.6,      1.155926, ,           2.6,      1.487314, ,           2.6,      1.423445, ,           2.6,      1.326668, , 
          2.8,      1.254392, ,           2.8,       1.20745, ,           2.8,      1.180817, ,           2.8,      1.167904, ,           2.8,      1.158837, ,           2.8,      1.155053, ,           2.8,      1.479179, ,           2.8,      1.416066, ,           2.8,      1.320844, , 
            3,        1.2512, ,             3,      1.205497, ,             3,      1.179477, ,             3,      1.166716, ,             3,      1.157968, ,             3,      1.154446, ,             3,      1.471721, ,             3,      1.409344, ,             3,      1.315667, , 
          3.2,       1.24856, ,           3.2,      1.203961, ,           3.2,      1.178579, ,           3.2,       1.16614, ,           3.2,      1.157529, ,           3.2,      1.154089, ,           3.2,      1.464883, ,           3.2,      1.403235, ,           3.2,      1.311085, , 
          3.4,      1.246424, ,           3.4,      1.202948, ,           3.4,      1.177995, ,           3.4,      1.165814, ,           3.4,      1.157448, ,           3.4,      1.154161, ,           3.4,      1.458717, ,           3.4,      1.397591, ,           3.4,      1.306489, , 
          3.6,      1.244731, ,           3.6,      1.202276, ,           3.6,      1.177948, ,           3.6,      1.166028, ,           3.6,      1.157871, ,           3.6,      1.154638, ,           3.6,      1.453278, ,           3.6,      1.392758, ,           3.6,      1.303086, , 
          3.8,      1.243444, ,           3.8,       1.20201, ,           3.8,      1.178164, ,           3.8,      1.166527, ,           3.8,      1.158493, ,           3.8,      1.155304, ,           3.8,      1.448399, ,           3.8,      1.388466, ,           3.8,      1.300201, , 
            4,      1.242894, ,             4,      1.202007, ,             4,       1.17872, ,             4,      1.167232, ,             4,      1.159433, ,             4,      1.156379, ,             4,      1.444886, ,             4,      1.385921, ,             4,      1.298668, , 
          4.2,      1.242316, ,           4.2,      1.202291, ,           4.2,      1.179436, ,           4.2,      1.168248, ,           4.2,      1.160588, ,           4.2,      1.157548, ,           4.2,      1.441137, ,           4.2,      1.382629, ,           4.2,      1.296694, , 
          4.4,      1.242056, ,           4.4,      1.202879, ,           4.4,      1.180477, ,           4.4,      1.169436, ,           4.4,      1.161919, ,           4.4,      1.158961, ,           4.4,      1.437855, ,           4.4,      1.379793, ,           4.4,      1.295131, , 
          4.6,      1.242313, ,           4.6,       1.20367, ,           4.6,      1.181724, ,           4.6,      1.170893, , , , , , , ,           4.6,      1.435379, ,           4.6,      1.378867, ,           4.6,      1.294398, , 
          4.8,      1.242609, ,           4.8,      1.204721, ,           4.8,      1.183142, ,           4.8,      1.172545, , , , , , , ,           4.8,      1.432983, ,           4.8,      1.376881, ,           4.8,      1.293569, , 
            5,      1.243154, ,             5,       1.20597, ,             5,      1.184794, ,             5,      1.174347, , , , , , , ,             5,      1.430984, ,             5,      1.375286, ,             5,      1.293079, , 
          5.2,      1.243934, ,           5.2,      1.207398, ,           5.2,      1.186591, ,           5.2,      1.176355, , , , , , , ,           5.2,      1.429358, ,           5.2,      1.374067, ,           5.2,      1.292909, , 
, , , , , , , , , , , , , , , , , ,           5.4,      1.428163, ,           5.4,      1.373211, ,           5.4,      1.293041, , 
