Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
            0,     0.8129188, ,             0,     0.7631316, ,             0,      1.085124, ,             0,     0.7352518, ,             0,     0.7236621, ,             0,     0.7216846, ,             0,     0.7129263, ,             0,     0.7096907, ,             0,     0.7080775, ,             0,      1.039068, ,             0,     0.9759285, ,             0,     0.8803394, ,             0,      0.866287, , 
          0.2,      0.804213, ,           0.2,     0.7566006, ,           0.2,      1.069469, ,           0.2,     0.7298367, ,           0.2,      0.718622, ,           0.2,     0.7166741, ,           0.2,     0.7080462, ,           0.2,      0.704854, ,           0.2,     0.7032722, ,           0.2,      1.024266, ,           0.2,     0.9622248, ,           0.2,     0.8687478, ,           0.2,       0.85519, , 
          0.4,     0.7967094, ,           0.4,      0.751041, ,           0.4,      1.055453, ,           0.4,     0.7252495, ,           0.4,     0.7144237, ,           0.4,     0.7125333, ,           0.4,     0.7040531, ,           0.4,     0.7008985, ,           0.4,      0.699345, ,           0.4,      1.011075, ,           0.4,     0.9500229, ,           0.4,     0.8586067, ,           0.4,     0.8455292, , 
          0.6,     0.7899223, ,           0.6,     0.7460565, ,           0.6,      1.042473, ,           0.6,      0.721179, ,           0.6,     0.7107203, ,           0.6,     0.7088921, ,           0.6,      0.700624, ,           0.6,     0.6975066, ,           0.6,      0.695981, ,           0.6,     0.9988702, ,           0.6,     0.9387677, ,           0.6,     0.8493705, ,           0.6,     0.8367559, , 
          0.8,     0.7838556, ,           0.8,      0.741671, ,           0.8,      1.030704, ,           0.8,      0.717659, ,           0.8,     0.7075481, ,           0.8,     0.7057791, ,           0.8,     0.6977507, ,           0.8,      0.694682, ,           0.8,      0.693181, ,           0.8,     0.9876274, ,           0.8,     0.9284407, ,           0.8,     0.8410523, ,           0.8,     0.8288742, , 
            1,     0.7783373, ,             1,     0.7377305, ,             1,      1.019835, ,             1,     0.7145392, ,             1,     0.7047585, ,             1,     0.7030458, ,             1,     0.6952664, ,             1,     0.6922664, ,             1,     0.6907891, ,             1,      0.977172, ,             1,     0.9188666, ,             1,     0.8334339, ,             1,     0.8216684, , 
          1.2,     0.7732921, ,           1.2,     0.7341715, ,           1.2,      1.009756, ,           1.2,     0.7117596, ,           1.2,     0.7022931, ,           1.2,     0.7006341, ,           1.2,     0.6930924, ,           1.2,     0.6901714, ,           1.2,     0.6887284, ,           1.2,     0.9674155, ,           1.2,     0.9099583, ,           1.2,     0.8264178, ,           1.2,     0.8150433, , 
          1.4,     0.7690981, ,           1.4,     0.7312285, ,           1.4,       1.00135, ,           1.4,      0.709491, ,           1.4,     0.7002997, ,           1.4,     0.6986882, ,           1.4,       0.69136, ,           1.4,     0.6885205, ,           1.4,     0.6871177, ,           1.4,     0.9589899, ,           1.4,     0.9022438, ,           1.4,     0.8205181, ,           1.4,     0.8095095, , 
          1.6,     0.7654941, ,           1.6,     0.7287194, ,           1.6,     0.9940063, ,           1.6,     0.7075823, ,           1.6,     0.6986383, ,           1.6,     0.6970698, ,           1.6,     0.6899363, ,           1.6,     0.6871717, ,           1.6,     0.6858057, ,           1.6,     0.9514681, ,           1.6,     0.8953624, ,           1.6,      0.815364, ,           1.6,     0.8046943, , 
          1.8,     0.7623908, ,           1.8,     0.7266008, ,           1.8,     0.9874546, ,           1.8,     0.7060115, ,           1.8,     0.6972935, ,           1.8,     0.6957644, ,           1.8,     0.6888105, ,           1.8,     0.6861152, ,           1.8,     0.6847836, ,           1.8,     0.9447099, ,           1.8,     0.8892116, ,           1.8,     0.8108698, ,           1.8,      0.800499, , 
