Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,     0.4624269, ,            -1,     0.4624269, ,            -1,     0.4624269, ,            -1,     0.4624269, ,            -1,     0.4624269, , 
         -0.8,     0.4772529, ,          -0.8,     0.4772529, ,          -0.8,     0.4772529, ,          -0.8,     0.4772529, ,          -0.8,     0.4772529, , 
         -0.6,     0.4920687, ,          -0.6,     0.4920687, ,          -0.6,     0.4920687, ,          -0.6,     0.4920687, ,          -0.6,     0.4920687, , 
         -0.4,     0.5068739, ,          -0.4,     0.5068739, ,          -0.4,     0.5068739, ,          -0.4,     0.5068739, ,          -0.4,     0.5068739, , 
         -0.2,      0.521668, ,          -0.2,      0.521668, ,          -0.2,      0.521668, ,          -0.2,      0.521668, ,          -0.2,      0.521668, , 
            0,     0.5364507, ,             0,     0.5364507, ,             0,     0.5364507, ,             0,     0.5364507, ,             0,     0.5364507, , 
          0.2,     0.5512215, ,           0.2,     0.5512215, ,           0.2,     0.5512215, ,           0.2,     0.5512215, ,           0.2,     0.5512215, , 
          0.4,     0.5659801, ,           0.4,     0.5659801, ,           0.4,     0.5659801, ,           0.4,     0.5659801, ,           0.4,     0.5659801, , 
          0.6,     0.5807261, ,           0.6,     0.5807261, ,           0.6,     0.5807261, ,           0.6,     0.5807261, ,           0.6,     0.5807261, , 
          0.8,     0.5954591, ,           0.8,     0.5954591, ,           0.8,     0.5954591, ,           0.8,     0.5954591, ,           0.8,     0.5954591, , 
            1,     0.6101787, ,             1,     0.6101787, ,             1,     0.6101787, ,             1,     0.6101787, ,             1,     0.6101787, , 
          1.2,     0.6248845, ,           1.2,     0.6248845, ,           1.2,     0.6248845, ,           1.2,     0.6248845, ,           1.2,     0.6248845, , 
          1.4,     0.6395761, ,           1.4,     0.6395761, ,           1.4,     0.6395761, ,           1.4,     0.6395761, ,           1.4,     0.6395761, , 
          1.6,     0.6542531, ,           1.6,     0.6542531, ,           1.6,     0.6542531, ,           1.6,     0.6542531, ,           1.6,     0.6542531, , 
          1.8,     0.6689151, ,           1.8,     0.6689151, ,           1.8,     0.6689151, ,           1.8,     0.6689151, ,           1.8,     0.6689151, , 
            2,     0.6835618, ,             2,     0.6835618, ,             2,     0.6835618, ,             2,     0.6835618, ,             2,     0.6835618, , 
          2.2,     0.6981928, ,           2.2,     0.6981928, ,           2.2,     0.6981928, ,           2.2,     0.6981928, ,           2.2,     0.6981928, , 
          2.4,     0.7128076, ,           2.4,     0.7128076, ,           2.4,     0.7128076, ,           2.4,     0.7128076, ,           2.4,     0.7128076, , 
          2.6,     0.7274059, ,           2.6,     0.7274059, ,           2.6,     0.7274059, ,           2.6,     0.7274059, ,           2.6,     0.7274059, , 
          2.8,     0.7419873, ,           2.8,     0.7419873, ,           2.8,     0.7419873, ,           2.8,     0.7419873, ,           2.8,     0.7419873, , 
            3,     0.7565514, ,             3,     0.7565514, ,             3,     0.7565514, ,             3,     0.7565514, ,             3,     0.7565514, , 
          3.2,     0.7710979, ,           3.2,     0.7710979, ,           3.2,     0.7710979, ,           3.2,     0.7710979, ,           3.2,     0.7710979, , 
          3.4,     0.7856264, ,           3.4,     0.7856264, ,           3.4,     0.7856264, ,           3.4,     0.7856264, ,           3.4,     0.7856264, , 
          3.6,     0.8001364, ,           3.6,     0.8001364, ,           3.6,     0.8001364, ,           3.6,     0.8001364, ,           3.6,     0.8001364, , 
          3.8,     0.8146276, ,           3.8,     0.8146276, ,           3.8,     0.8146276, ,           3.8,     0.8146276, ,           3.8,     0.8146276, , 
            4,     0.8290996, ,             4,     0.8290996, ,             4,     0.8290996, ,             4,     0.8290996, ,             4,     0.8290996, , 
          4.2,     0.8435521, ,           4.2,     0.8435521, ,           4.2,     0.8435521, ,           4.2,     0.8435521, ,           4.2,     0.8435521, , 
          4.4,     0.8579847, ,           4.4,     0.8579847, ,           4.4,     0.8579847, ,           4.4,     0.8579847, ,           4.4,     0.8579847, , 
          4.6,     0.8723969, ,           4.6,     0.8723969, ,           4.6,     0.8723969, ,           4.6,     0.8723969, ,           4.6,     0.8723969, , 
          4.8,     0.8867885, ,           4.8,     0.8867885, ,           4.8,     0.8867885, ,           4.8,     0.8867885, ,           4.8,     0.8867885, , 
            5,      0.901159, ,             5,      0.901159, ,             5,      0.901159, ,             5,      0.901159, ,             5,      0.901159, , 
          5.2,     0.9155082, ,           5.2,     0.9155082, ,           5.2,     0.9155082, ,           5.2,     0.9155082, ,           5.2,     0.9155082, , 
          5.4,     0.9298355, ,           5.4,     0.9298355, ,           5.4,     0.9298355, ,           5.4,     0.9298355, ,           5.4,     0.9298355, , 

