Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -1,      3.255688, ,            -1,      3.033223, ,            -1,      3.815142, , 
         -0.8,      3.219881, ,          -0.8,      3.003975, ,          -0.8,      3.764563, , 
         -0.6,      3.190508, ,          -0.6,      2.980325, ,          -0.6,      3.721278, , 
         -0.4,      3.166841, ,          -0.4,      2.961882, ,          -0.4,      3.684425, , 
         -0.2,      3.148596, ,          -0.2,      2.948108, ,          -0.2,      3.653397, , 
            0,      3.134823, ,             0,       2.93853, ,             0,       3.62765, , 
          0.2,      3.124893, ,           0.2,      2.933251, ,           0.2,      3.606634, , 
          0.4,      3.118379, ,           0.4,      2.931387, ,           0.4,      3.589863, , 
          0.6,      3.114973, ,           0.6,      2.932361, ,           0.6,      3.577022, , 
          0.8,      3.114481, ,           0.8,      2.935749, ,           0.8,      3.567775, , 
            1,      3.116718, ,             1,      2.941508, ,             1,       3.56178, , 
          1.2,      3.121364, ,           1.2,      2.949563, ,           1.2,       3.55874, , 
          1.4,       3.12814, ,           1.4,      2.959502, ,           1.4,      3.558395, , 
          1.6,      3.136917, ,           1.6,      2.971299, ,           1.6,      3.560524, , 
          1.8,      3.147646, ,           1.8,      2.984713, ,           1.8,      3.564967, , 
            2,      3.160166, ,             2,      2.999609, ,             2,      3.571563, , 
          2.2,      3.174284, ,           2.2,      3.015967, ,           2.2,      3.580142, , 
          2.4,      3.189854, ,           2.4,       3.03374, ,           2.4,      3.590588, , 
          2.6,      3.206784, ,           2.6,      3.052832, ,           2.6,      3.602817, , 
          2.8,      3.224997, ,           2.8,      3.072913, ,           2.8,      3.616814, , 
            3,      3.244392, ,             3,      3.094028, ,             3,      3.632414, , 
          3.2,      3.264908, ,           3.2,      3.116125, ,           3.2,      3.649528, , 
          3.4,      3.286487, ,           3.4,      3.139174, ,           3.4,      3.668081, , 
          3.6,      3.309067, ,           3.6,      3.162956, ,           3.6,      3.687987, , 
          3.8,      3.332624, ,           3.8,      3.187562, ,           3.8,      3.709196, , 
            4,      3.357139, ,             4,       3.21298, ,             4,      3.731703, , 
          4.2,      3.382621, ,           4.2,      3.239139, ,           4.2,      3.755444, , 
          4.4,      3.409023, ,           4.4,      3.266038, ,           4.4,      3.780428, , 
          4.6,      3.436288, ,           4.6,       3.29369, ,           4.6,      3.806627, , 
          4.8,      3.464417, ,           4.8,      3.322121, ,           4.8,      3.834064, , 
            5,       3.49339, ,             5,      3.351329, ,             5,      3.862737, , 
          5.2,      3.523235, ,           5.2,       3.38127, ,           5.2,      3.892726, , 

