Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,       9.28027, ,            -4,      9.694124, ,            -4,      9.891497, ,            -4,      9.975408, ,            -4,      10.02988, ,            -4,      10.05056, ,            -4,      6.911629, ,            -4,      7.619934, ,            -4,      8.684003, , 
         -3.8,      9.347087, ,          -3.8,      9.771236, ,          -3.8,      9.973469, ,          -3.8,      10.05922, ,          -3.8,      10.11485, ,          -3.8,      10.13598, ,          -3.8,      6.938245, ,          -3.8,      7.654307, ,          -3.8,      8.736862, , 
         -3.6,      9.408393, ,          -3.6,      9.842729, ,          -3.6,      10.04978, ,          -3.6,      10.13732, ,          -3.6,      10.19405, ,          -3.6,      10.21559, ,          -3.6,      6.960234, ,          -3.6,      7.683657, ,          -3.6,      8.784335, , 
         -3.4,      9.464297, ,          -3.4,      9.908538, ,          -3.4,      10.12048, ,          -3.4,      10.20974, ,          -3.4,      10.26749, ,          -3.4,      10.28949, ,          -3.4,      6.977586, ,          -3.4,      7.707905, ,          -3.4,      8.826324, , 
         -3.2,       9.51481, ,          -3.2,      9.968864, ,          -3.2,      10.18574, ,          -3.2,      10.27674, ,          -3.2,      10.33548, ,          -3.2,      10.35795, ,          -3.2,      6.990409, ,          -3.2,      7.727177, ,          -3.2,      8.862844, , 
           -3,      9.559965, ,            -3,      10.02377, ,            -3,      10.24562, ,            -3,      10.33834, ,            -3,      10.39804, ,            -3,      10.42101, ,            -3,       6.99871, ,            -3,      7.741396, ,            -3,      8.893897, , 
         -2.8,      9.599901, ,          -2.8,      10.07339, ,          -2.8,       10.3004, ,          -2.8,       10.3949, ,          -2.8,      10.45545, ,          -2.8,      10.47882, ,          -2.8,      7.002552, ,          -2.8,      7.750599, ,          -2.8,      8.919504, , 
         -2.6,      9.634576, ,          -2.6,      10.11787, ,          -2.6,      10.35016, ,          -2.6,      10.44647, ,          -2.6,      10.50776, ,          -2.6,      10.53151, ,          -2.6,      7.001959, ,          -2.6,      7.754796, ,          -2.6,      8.939684, , 
         -2.4,      9.664124, ,          -2.4,      10.15737, ,          -2.4,      10.39471, ,          -2.4,      10.49282, ,          -2.4,      10.55515, ,          -2.4,      10.57934, ,          -2.4,      6.997169, ,          -2.4,      7.754197, ,          -2.4,      8.954493, , 
         -2.2,      9.688457, ,          -2.2,      10.19193, ,          -2.2,      10.43424, ,          -2.2,      10.53429, ,          -2.2,      10.59771, ,          -2.2,      10.62229, ,          -2.2,      6.987833, ,          -2.2,      7.748443, ,          -2.2,      8.963728, , 
           -2,      9.707704, ,            -2,      10.22171, ,            -2,      10.46913, ,            -2,       10.5711, ,            -2,      10.63569, ,            -2,      10.66067, ,            -2,      6.974404, ,            -2,      7.737993, ,            -2,      8.967685, , 
         -1.8,      9.721772, ,          -1.8,      10.24675, ,          -1.8,      10.49954, ,          -1.8,      10.60345, ,          -1.8,      10.66927, ,          -1.8,      10.69465, ,          -1.8,      6.956675, ,          -1.8,      7.722657, ,          -1.8,      8.966127, , 
         -1.6,      9.730789, ,          -1.6,      10.26724, ,          -1.6,      10.52559, ,          -1.6,      10.63154, ,          -1.6,       10.6986, ,          -1.6,      10.72433, ,          -1.6,      6.935059, ,          -1.6,      7.702739, ,          -1.6,      8.959094, , 
         -1.4,      9.734609, ,          -1.4,      10.28305, ,          -1.4,      10.54741, ,          -1.4,      10.65551, ,          -1.4,      10.72383, ,          -1.4,      10.74994, ,          -1.4,      6.909591, ,          -1.4,      7.678228, ,          -1.4,      8.946436, , 
         -1.2,      9.733292, ,          -1.2,      10.29424, ,          -1.2,      10.56507, ,          -1.2,      10.67552, ,          -1.2,      10.74534, ,          -1.2,      10.77182, ,          -1.2,      6.882494, ,          -1.2,      7.650889, ,          -1.2,      8.928224, , 
           -1,       9.72681, ,            -1,      10.30081, ,            -1,      10.57876, ,            -1,      10.69173, ,            -1,      10.76315, ,            -1,      10.79005, ,            -1,      6.849506, ,            -1,      7.617448, ,            -1,      8.904706, , 
         -0.8,      9.715281, ,          -0.8,      10.30297, ,          -0.8,      10.58831, ,          -0.8,      10.70425, ,          -0.8,      10.77741, ,          -0.8,      10.80482, ,          -0.8,      6.813054, ,          -0.8,      7.579832, ,          -0.8,      8.875986, , 
         -0.6,       9.69825, ,          -0.6,      10.30057, ,          -0.6,      10.59397, ,          -0.6,      10.71286, ,          -0.6,      10.78805, ,          -0.6,      10.81616, ,          -0.6,      6.773042, ,          -0.6,      7.538033, ,          -0.6,      8.842086, , 
         -0.4,      9.675948, ,          -0.4,      10.29339, ,          -0.4,      10.59581, ,          -0.4,      10.71808, ,          -0.4,      10.79534, ,          -0.4,      10.82419, ,          -0.4,       6.72968, ,          -0.4,      7.492112, ,          -0.4,      8.802875, , 
         -0.2,      9.647998, ,          -0.2,      10.28173, ,          -0.2,      10.59333, ,          -0.2,      10.71979, ,          -0.2,      10.79979, ,          -0.2,      10.82965, ,          -0.2,      6.682957, ,          -0.2,      7.441977, ,          -0.2,      8.758264, , 
            0,      9.614367, ,             0,      10.26545, ,             0,      10.58672, ,             0,      10.71744, ,             0,      10.80049, ,             0,      10.83156, ,             0,      6.633258, ,             0,      7.388142, ,             0,      8.708924, , 
          0.2,        9.5748, ,           0.2,      10.24398, ,           0.2,      10.57606, ,           0.2,      10.71123, ,           0.2,      10.79751, ,           0.2,      10.82991, ,           0.2,      6.581089, ,           0.2,      7.330444, ,           0.2,      8.654573, , 
          0.4,      9.529657, ,           0.4,       10.2175, ,           0.4,      10.56093, ,           0.4,      10.70093, ,           0.4,      10.79084, ,           0.4,      10.82475, ,           0.4,      6.525616, ,           0.4,      7.269353, ,           0.4,      8.595712, , 
          0.6,       9.47858, ,           0.6,      10.18573, ,           0.6,      10.54083, ,           0.6,      10.68599, ,           0.6,      10.77987, ,           0.6,      10.81553, ,           0.6,      6.467532, ,           0.6,      7.205183, ,           0.6,      8.532431, , 
          0.8,      9.421588, ,           0.8,      10.14871, ,           0.8,      10.51628, ,           0.8,      10.66622, ,           0.8,      10.76365, ,           0.8,       10.8009, ,           0.8,       6.40685, ,           0.8,      7.137651, ,           0.8,      8.464479, , 
            1,      9.358434, ,             1,      10.10596, ,             1,      10.48723, ,             1,      10.64196, ,             1,      10.74267, ,             1,      10.78126, ,             1,      6.344009, ,             1,      7.067198, ,             1,      8.391698, , 
          1.2,      9.288979, ,           1.2,      10.05775, ,           1.2,      10.45325, ,           1.2,      10.61285, ,           1.2,      10.71675, ,           1.2,      10.75659, ,           1.2,      6.278817, ,           1.2,      6.993736, ,           1.2,      8.314537, , 
          1.4,      9.213893, ,           1.4,      10.00347, ,           1.4,       10.4147, ,           1.4,      10.57898, ,           1.4,      10.68584, ,           1.4,      10.72687, ,           1.4,      6.211669, ,           1.4,      6.917334, ,           1.4,      8.232983, , 
          1.6,      9.132767, ,           1.6,       9.94281, ,           1.6,      10.37175, ,           1.6,      10.54064, ,           1.6,      10.65027, ,           1.6,      10.69237, ,           1.6,      6.142392, ,           1.6,       6.83762, ,           1.6,      8.145656, , 
          1.8,      9.046154, ,           1.8,      9.874897, ,           1.8,      10.32448, ,           1.8,      10.49826, ,           1.8,      10.61073, ,           1.8,      10.65382, ,           1.8,      6.071079, ,           1.8,      6.754475, ,           1.8,      8.051992, , 
            2,      8.955351, ,             2,      9.799979, ,             2,      10.27298, ,             2,      10.45199, ,             2,      10.56733, ,             2,      10.61135, ,             2,      5.997552, ,             2,      6.667179, ,             2,      7.951058, , 
          2.2,      8.861882, ,           2.2,      9.716723, ,           2.2,      10.21722, ,           2.2,      10.40237, ,           2.2,      10.52081, ,           2.2,      10.56584, ,           2.2,      5.923366, ,           2.2,      6.578565, ,           2.2,      7.847882, , 
          2.4,      8.763488, ,           2.4,      9.622342, ,           2.4,      10.15704, ,           2.4,      10.34929, ,           2.4,      10.47125, ,           2.4,      10.51734, ,           2.4,      5.846444, ,           2.4,      6.484086, ,           2.4,      7.732997, , 
          2.6,       8.66103, ,           2.6,      9.518099, ,           2.6,      10.09189, ,           2.6,      10.29271, ,           2.6,      10.41886, ,           2.6,      10.46609, ,           2.6,      5.765883, ,           2.6,       6.38089, ,           2.6,      7.600084, , 
          2.8,      8.554155, ,           2.8,      9.402622, ,           2.8,      10.02173, ,           2.8,      10.23319, ,           2.8,      10.36412, ,           2.8,      10.41247, ,           2.8,      5.681778, ,           2.8,      6.269616, ,           2.8,       7.45094, , 
            3,      8.446075, ,             3,      9.279887, ,             3,      9.945268, ,             3,      10.16983, ,             3,       10.3066, ,             3,      10.35646, ,             3,      5.601312, ,             3,      6.166997, ,             3,      7.320752, , 
          3.2,      8.332603, ,           3.2,      9.154728, ,           3.2,      9.860458, ,           3.2,       10.1028, ,           3.2,      10.24661, ,           3.2,      10.29807, ,           3.2,      5.523833, ,           3.2,      6.071897, ,           3.2,      7.207367, , 
          3.4,       8.21959, ,           3.4,      9.029342, ,           3.4,        9.7633, ,           3.4,      10.03062, ,           3.4,      10.18388, ,           3.4,      10.23731, ,           3.4,      5.447645, ,           3.4,      5.980188, ,           3.4,      7.102099, , 
          3.6,      8.096748, ,           3.6,      8.904608, ,           3.6,      9.639869, ,           3.6,      9.950339, ,           3.6,      10.11831, ,           3.6,      10.17406, ,           3.6,      5.371352, ,           3.6,      5.888604, ,           3.6,      6.998029, , 
          3.8,      7.880231, ,           3.8,      8.776744, ,           3.8,      9.469669, ,           3.8,      9.856901, ,           3.8,      10.04941, ,           3.8,      10.10779, , , , , , , ,           3.8,      6.881142, , 
            4,      7.666558, ,             4,      8.632439, ,             4,      9.264196, ,             4,      9.751468, ,             4,      9.976756, ,             4,      10.03832, , , , , , , ,             4,      6.762291, , 
, , ,           4.2,      8.504084, ,           4.2,      9.077328, ,           4.2,       9.64325, ,           4.2,      9.897973, ,           4.2,      9.963888, , , , , , , , , , , 

