Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      5.594694, ,            -4,      5.426944, ,            -4,      5.396019, ,            -4,      7.198725, ,            -4,      6.282488, , 
         -3.8,      5.548919, ,          -3.8,      5.379782, ,          -3.8,      5.348864, ,          -3.8,      7.167439, ,          -3.8,      6.243958, , 
         -3.6,      5.507107, ,          -3.6,      5.336409, ,          -3.6,      5.305514, ,          -3.6,      7.141409, ,          -3.6,      6.209924, , 
         -3.4,      5.469082, ,          -3.4,      5.296844, ,          -3.4,      5.265781, ,          -3.4,      7.120582, ,          -3.4,      6.180327, , 
         -3.2,        5.4346, ,          -3.2,      5.260709, ,          -3.2,      5.229416, ,          -3.2,      7.104756, ,          -3.2,       6.15501, , 
           -3,      5.403523, ,            -3,      5.227807, ,            -3,      5.196242, ,            -3,      7.093893, ,            -3,      6.133863, , 
         -2.8,      5.375647, ,          -2.8,      5.197952, ,          -2.8,      5.166079, ,          -2.8,      7.087998, ,          -2.8,      6.116877, , 
         -2.6,      5.350791, ,          -2.6,      5.170984, ,          -2.6,      5.138743, ,          -2.6,      7.086878, ,          -2.6,      6.103917, , 
         -2.4,      5.328874, ,          -2.4,      5.146697, ,          -2.4,      5.114047, ,          -2.4,      7.090764, ,          -2.4,      6.095023, , 
         -2.2,      5.309776, ,          -2.2,      5.124945, ,          -2.2,      5.091828, ,          -2.2,      7.099463, ,          -2.2,      6.090139, , 
           -2,      5.293394, ,            -2,      5.105648, ,            -2,      5.072063, ,            -2,      7.112957, ,            -2,      6.089296, , 
         -1.8,      5.279638, ,          -1.8,      5.088627, ,          -1.8,       5.05457, ,          -1.8,      7.131291, ,          -1.8,      6.092618, , 
         -1.6,      5.268487, ,          -1.6,      5.073778, ,          -1.6,      5.039224, ,          -1.6,      7.153775, ,          -1.6,      6.100025, , 
         -1.4,      5.259939, ,          -1.4,      5.061021, ,          -1.4,       5.02589, ,          -1.4,      7.180173, ,          -1.4,      6.111637, , 
         -1.2,      5.254012, ,          -1.2,      5.050215, ,          -1.2,      5.014415, ,          -1.2,      7.212717, ,          -1.2,      6.127309, , 
           -1,      5.250508, ,            -1,      5.041397, ,            -1,       5.00472, ,            -1,       7.24978, ,            -1,      6.147061, , 
         -0.8,      5.249716, ,          -0.8,      5.034411, ,          -0.8,      4.996822, ,          -0.8,      7.291816, ,          -0.8,      6.170962, , 
         -0.6,      5.251497, ,          -0.6,      5.029171, ,          -0.6,      4.990385, ,          -0.6,      7.338689, ,          -0.6,      6.199107, , 
         -0.4,      5.255816, ,          -0.4,      5.025997, ,          -0.4,      4.985694, ,          -0.4,      7.390694, ,          -0.4,      6.231698, , 
         -0.2,       5.26308, ,          -0.2,       5.02482, ,          -0.2,      4.982862, ,          -0.2,       7.44772, ,          -0.2,      6.268571, , 
            0,      5.273253, ,             0,      5.025714, ,             0,      4.981878, ,             0,      7.509654, ,             0,      6.309674, , 
          0.2,      5.286353, ,           0.2,      5.029131, ,           0.2,      4.983163, ,           0.2,      7.576449, ,           0.2,      6.355037, , 
          0.4,      5.302692, ,           0.4,      5.035058, ,           0.4,      4.987077, ,           0.4,      7.648197, ,           0.4,      6.404707, , 
          0.6,      5.322399, ,           0.6,      5.043528, ,           0.6,      4.993598, ,           0.6,        7.7252, ,           0.6,      6.459578, , 
          0.8,      5.345529, ,           0.8,       5.05463, ,           0.8,      5.002774, ,           0.8,      7.807279, ,           0.8,      6.519107, , 
            1,       5.37218, ,             1,      5.068468, ,             1,      5.014829, ,             1,      7.895021, ,             1,      6.583656, , 
          1.2,      5.402797, ,           1.2,      5.084782, ,           1.2,       5.02936, ,           1.2,      7.988555, ,           1.2,         6.654, , 
          1.4,      5.438217, ,           1.4,      5.103589, ,           1.4,      5.046274, ,           1.4,      8.088753, ,           1.4,      6.731343, , 
          1.6,      5.478208, ,           1.6,      5.124738, ,           1.6,      5.065471, ,           1.6,      8.196938, ,           1.6,      6.817392, , 
          1.8,      5.523554, ,           1.8,      5.148019, ,           1.8,      5.086683, ,           1.8,         8.311, ,           1.8,      6.909215, , 
            2,      5.575839, ,             2,      5.173265, ,             2,      5.109569, ,             2,      8.433542, ,             2,      7.010711, , 
          2.2,      5.635892, ,           2.2,      5.200884, ,           2.2,      5.134379, ,           2.2,      8.570034, ,           2.2,      7.130046, , 
          2.4,      5.704675, ,           2.4,       5.23056, ,           2.4,      5.160994, ,           2.4,      8.725849, ,           2.4,      7.275026, , 
          2.6,      5.781185, ,           2.6,      5.262485, ,           2.6,      5.189218, ,           2.6,      8.885094, ,           2.6,      7.421845, , 
          2.8,      5.862473, ,           2.8,      5.296903, ,           2.8,      5.219166, ,           2.8,      9.034437, ,           2.8,      7.549512, , 
            3,      5.947097, ,             3,      5.334455, ,             3,      5.250949, ,             3,      9.181659, ,             3,       7.66986, , 
          3.2,      6.033511, ,           3.2,      5.376548, ,           3.2,      5.284722, ,           3.2,      9.333097, ,           3.2,      7.790814, , 
          3.4,      6.122811, ,           3.4,      5.425853, ,           3.4,      5.320634, ,           3.4,      9.491754, ,           3.4,      7.919597, , 
          3.6,      6.226692, ,           3.6,       5.48547, ,           3.6,      5.359265, , , , ,           3.6,      8.078405, , 
          3.8,      6.326875, ,           3.8,      5.548551, ,           3.8,      5.401552, , , , , , , , 

