Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-2.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-23.4 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-28.7 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , Alpha,T1-8.1 m/s-VLM2, , 
           -4,      1.831226, ,            -4,      1.770299, ,            -4,      2.595822, ,            -4,      1.742722, ,            -4,      1.732826, ,            -4,      1.731067, ,            -4,      1.723682, ,            -4,      1.720882, ,            -4,        1.7195, ,            -4,      2.345042, ,            -4,      2.155145, ,            -4,      1.931621, ,            -4,      1.911349, , 
         -3.8,      1.804258, ,          -3.8,      1.743235, ,          -3.8,       2.56235, ,          -3.8,       1.71554, ,          -3.8,      1.705713, ,          -3.8,      1.703963, ,          -3.8,      1.696585, ,          -3.8,      1.693779, ,          -3.8,      1.692406, ,          -3.8,      2.315204, ,          -3.8,      2.126983, ,          -3.8,      1.904672, ,          -3.8,      1.884411, , 
         -3.6,       1.77895, ,          -3.6,      1.717837, ,          -3.6,      2.531071, ,          -3.6,      1.690065, ,          -3.6,      1.680295, ,          -3.6,      1.678552, ,          -3.6,      1.671191, ,          -3.6,       1.66839, ,          -3.6,      1.667014, ,          -3.6,      2.287352, ,          -3.6,      2.100672, ,          -3.6,      1.879411, ,          -3.6,      1.859151, , 
         -3.4,      1.755238, ,          -3.4,      1.694008, ,          -3.4,      2.501964, ,          -3.4,      1.666225, ,          -3.4,      1.656475, ,          -3.4,      1.654734, ,          -3.4,      1.647376, ,          -3.4,      1.644587, ,          -3.4,      1.643214, ,          -3.4,      2.261467, ,          -3.4,      2.076177, ,          -3.4,      1.855772, ,          -3.4,      1.835504, , 
         -3.2,       1.73301, ,          -3.2,      1.671639, ,          -3.2,      2.474806, ,          -3.2,      1.643851, ,          -3.2,      1.634125, ,          -3.2,      1.632386, ,          -3.2,      1.625049, ,          -3.2,       1.62227, ,          -3.2,      1.620898, ,          -3.2,      2.237347, ,          -3.2,      2.053333, ,          -3.2,      1.833644, ,          -3.2,       1.81336, , 
           -3,      1.712166, ,            -3,      1.650632, ,            -3,      2.449501, ,            -3,      1.622839, ,            -3,      1.613134, ,            -3,      1.611396, ,            -3,      1.604076, ,            -3,      1.601305, ,            -3,      1.599936, ,            -3,      2.214904, ,            -3,      2.032042, ,            -3,      1.812933, ,            -3,      1.792622, , 
         -2.8,      1.692647, ,          -2.8,      1.630912, ,          -2.8,      2.426008, ,          -2.8,      1.603114, ,          -2.8,      1.593431, ,          -2.8,      1.591694, ,          -2.8,      1.584386, ,          -2.8,      1.581625, ,          -2.8,      1.580257, ,          -2.8,      2.194116, ,          -2.8,      2.012282, ,          -2.8,      1.793597, ,          -2.8,      1.773246, , 
         -2.6,      1.674351, ,          -2.6,      1.612391, ,          -2.6,      2.404179, ,          -2.6,      1.584573, ,          -2.6,      1.574914, ,          -2.6,      1.573177, ,          -2.6,       1.56588, ,          -2.6,       1.56313, ,          -2.6,      1.561763, ,          -2.6,      2.174843, ,          -2.6,      1.993936, ,          -2.6,      1.775546, ,          -2.6,      1.755141, , 
         -2.4,      1.657217, ,          -2.4,      1.595017, ,          -2.4,      2.383998, ,          -2.4,      1.567161, ,          -2.4,      1.557504, ,          -2.4,      1.555763, ,          -2.4,       1.54848, ,          -2.4,      1.545743, ,          -2.4,      1.544378, ,          -2.4,       2.15708, ,          -2.4,      1.976984, ,          -2.4,      1.758736, ,          -2.4,      1.738259, , 
         -2.2,      1.641198, ,          -2.2,      1.578722, ,          -2.2,      2.365353, ,          -2.2,      1.550813, ,          -2.2,      1.541159, ,          -2.2,      1.539417, ,          -2.2,       1.53215, ,          -2.2,      1.529417, ,          -2.2,      1.528053, ,          -2.2,      2.140723, ,          -2.2,       1.96134, ,          -2.2,      1.743114, ,          -2.2,      1.722546, , 
           -2,       1.62621, ,            -2,      1.563432, ,            -2,       2.34818, ,            -2,      1.535454, ,            -2,      1.525812, ,            -2,      1.524068, ,            -2,      1.516812, ,            -2,      1.514075, ,            -2,      1.512709, ,            -2,      2.125704, ,            -2,      1.946929, ,            -2,      1.728602, ,            -2,      1.707925, , 
         -1.8,      1.612231, ,          -1.8,      1.549111, ,          -1.8,      2.332426, ,          -1.8,      1.521039, ,          -1.8,        1.5114, ,          -1.8,      1.509651, ,          -1.8,      1.502387, ,          -1.8,      1.499644, ,          -1.8,      1.498279, ,          -1.8,      2.112007, ,          -1.8,      1.933761, ,          -1.8,      1.715194, ,          -1.8,      1.694385, , 
         -1.6,      1.599205, ,          -1.6,      1.535683, ,          -1.6,      2.318045, ,          -1.6,      1.507506, ,          -1.6,      1.497859, ,          -1.6,      1.496102, ,          -1.6,      1.488815, ,          -1.6,      1.486064, ,          -1.6,      1.484699, ,          -1.6,      2.099561, ,          -1.6,       1.92176, ,          -1.6,      1.702821, ,          -1.6,      1.681862, , 
         -1.4,      1.587078, ,          -1.4,      1.523109, ,          -1.4,      2.304914, ,          -1.4,      1.494808, ,          -1.4,      1.485151, ,          -1.4,      1.483387, ,          -1.4,      1.476065, ,          -1.4,      1.473305, ,          -1.4,      1.471938, ,          -1.4,       2.08828, ,          -1.4,      1.910855, ,          -1.4,      1.691443, ,          -1.4,      1.670313, , 
         -1.2,      1.575826, ,          -1.2,      1.511357, ,          -1.2,      2.293045, ,          -1.2,      1.482904, ,          -1.2,      1.473232, ,          -1.2,      1.471461, ,          -1.2,      1.464116, ,          -1.2,      1.461341, ,          -1.2,      1.459969, ,          -1.2,      2.078192, ,          -1.2,      1.901072, ,          -1.2,       1.68105, ,          -1.2,      1.659727, , 
           -1,      1.565404, ,            -1,      1.500374, ,            -1,      2.282411, ,            -1,      1.471743, ,            -1,      1.462052, ,            -1,      1.460274, ,            -1,       1.45291, ,            -1,      1.450121, ,            -1,      1.448745, ,            -1,      2.069244, ,            -1,      1.892341, ,            -1,      1.671574, ,            -1,      1.650041, , 
         -0.8,      1.555794, ,          -0.8,      1.490128, ,          -0.8,      2.272934, ,          -0.8,      1.461286, ,          -0.8,      1.451571, ,          -0.8,      1.449786, ,          -0.8,        1.4424, ,          -0.8,      1.439597, ,          -0.8,      1.438215, ,          -0.8,      2.061391, ,          -0.8,      1.884646, ,          -0.8,      1.663012, ,          -0.8,      1.641252, , 
         -0.6,      1.546962, ,          -0.6,      1.480642, ,          -0.6,      2.264562, ,          -0.6,      1.451518, ,          -0.6,      1.441746, ,          -0.6,      1.439953, ,          -0.6,      1.432549, ,          -0.6,      1.429736, ,          -0.6,       1.42835, ,          -0.6,        2.0546, ,          -0.6,      1.877958, ,          -0.6,      1.655355, ,          -0.6,      1.633341, , 
         -0.4,      1.538869, ,          -0.4,      1.471823, ,          -0.4,      2.257294, ,          -0.4,       1.44238, ,          -0.4,      1.432538, ,          -0.4,      1.430735, ,          -0.4,       1.42331, ,          -0.4,       1.42049, ,          -0.4,      1.419101, ,          -0.4,      2.048853, ,          -0.4,      1.872239, ,          -0.4,       1.64856, ,          -0.4,      1.626272, , 
         -0.2,      1.531525, ,          -0.2,      1.463667, ,          -0.2,      2.250518, ,          -0.2,      1.433852, ,          -0.2,      1.423933, ,          -0.2,      1.422118, ,          -0.2,       1.41466, ,          -0.2,      1.411832, ,          -0.2,      1.410436, ,          -0.2,      2.043657, ,          -0.2,      1.867202, ,          -0.2,      1.642654, ,          -0.2,      1.620067, , 
            0,      1.524886, ,             0,      1.456127, ,             0,      2.244876, ,             0,      1.425901, ,             0,      1.415884, ,             0,      1.414054, ,             0,      1.406549, ,             0,      1.403714, ,             0,      1.402312, ,             0,      2.039533, ,             0,      1.863146, ,             0,      1.637562, ,             0,      1.614652, , 
          0.2,      1.518945, ,           0.2,      1.449192, ,           0.2,      2.240531, ,           0.2,      1.418498, ,           0.2,      1.408373, ,           0.2,      1.406525, ,           0.2,      1.398961, ,           0.2,      1.396113, ,           0.2,      1.394703, ,           0.2,      2.036631, ,           0.2,      1.860164, ,           0.2,      1.633282, ,           0.2,      1.610027, , 
          0.4,      1.513689, ,           0.4,      1.442837, ,           0.4,      2.237087, ,           0.4,      1.411609, ,           0.4,      1.401359, ,           0.4,      1.399491, ,           0.4,      1.391861, ,           0.4,         1.389, ,           0.4,      1.387582, ,           0.4,      2.034615, ,           0.4,      1.858041, ,           0.4,      1.629809, ,           0.4,      1.606185, , 
          0.6,       1.50912, ,           0.6,       1.43705, ,           0.6,      2.234581, ,           0.6,      1.405223, ,           0.6,      1.394818, ,           0.6,      1.392925, ,           0.6,      1.385211, ,           0.6,      1.382326, ,           0.6,      1.380896, ,           0.6,      2.033505, ,           0.6,      1.856764, ,           0.6,      1.627067, ,           0.6,      1.603063, , 
          0.8,      1.505254, ,           0.8,      1.431822, ,           0.8,      2.232988, ,           0.8,      1.399347, ,           0.8,      1.388764, ,           0.8,       1.38684, ,           0.8,      1.379009, ,           0.8,      1.376088, ,           0.8,      1.374639, ,           0.8,      2.033314, ,           0.8,      1.856381, ,           0.8,      1.625158, ,           0.8,      1.600747, , 
            1,      1.502065, ,             1,      1.427106, ,             1,      2.232195, ,             1,      1.393922, ,             1,      1.383144, ,             1,      1.381187, ,             1,      1.373237, ,             1,      1.370274, ,             1,      1.368801, ,             1,      2.033927, ,             1,      1.856798, ,             1,      1.624022, ,             1,      1.599183, , 
          1.2,      1.499603, ,           1.2,      1.422949, ,           1.2,      2.232333, ,           1.2,      1.388948, ,           1.2,      1.377937, ,           1.2,       1.37594, ,           1.2,      1.367843, ,           1.2,       1.36483, ,           1.2,       1.36333, ,           1.2,      2.035466, ,           1.2,      1.858083, ,           1.2,      1.623637, ,           1.2,      1.598361, , 
          1.4,      1.497847, ,           1.4,       1.41936, ,           1.4,      2.233225, ,           1.4,      1.384452, ,           1.4,      1.373154, ,           1.4,      1.371108, ,           1.4,      1.362822, ,           1.4,      1.359739, ,           1.4,      1.358203, ,           1.4,      2.037791, ,           1.4,      1.860163, ,           1.4,      1.624011, ,           1.4,      1.598285, , 
          1.6,      1.496789, ,           1.6,      1.416289, ,           1.6,      2.234817, ,           1.6,      1.380418, ,           1.6,      1.368848, ,           1.6,      1.366748, ,           1.6,      1.358224, ,           1.6,      1.355041, ,           1.6,      1.353453, ,           1.6,      2.040874, ,           1.6,      1.863004, ,           1.6,      1.625074, ,           1.6,      1.598895, , 
          1.8,      1.496436, ,           1.8,       1.41377, ,           1.8,      2.236775, ,           1.8,      1.376839, ,           1.8,      1.364969, ,           1.8,      1.362814, ,           1.8,      1.354067, ,           1.8,      1.350794, ,           1.8,      1.349157, ,           1.8,      2.044608, ,           1.8,      1.866653, ,           1.8,      1.626851, ,           1.8,      1.600214, , 
            2,      1.496798, ,             2,      1.411835, ,             2,      2.239859, ,             2,      1.373701, ,             2,      1.361496, ,             2,      1.359279, ,             2,      1.350283, ,             2,      1.346909, ,             2,      1.345223, ,             2,      2.049264, ,             2,      1.871027, ,             2,      1.629324, ,             2,      1.602225, , 
          2.2,      1.497985, ,           2.2,      1.410496, ,           2.2,      2.243703, ,           2.2,      1.371022, ,           2.2,      1.358443, ,           2.2,      1.356155, ,           2.2,       1.34688, ,           2.2,      1.343391, ,           2.2,      1.341646, ,           2.2,      2.054724, ,           2.2,      1.876192, ,           2.2,      1.632594, ,           2.2,      1.605034, , 
          2.4,      1.499889, ,           2.4,      1.409746, ,           2.4,      2.248029, ,           2.4,      1.368815, ,           2.4,      1.355863, ,           2.4,        1.3535, ,           2.4,      1.343934, ,           2.4,      1.340318, ,           2.4,      1.338506, ,           2.4,      2.060937, ,           2.4,      1.882114, ,           2.4,      1.636583, ,           2.4,      1.608555, , 
          2.6,      1.502611, ,           2.6,       1.40959, ,           2.6,      2.253061, ,           2.6,      1.367087, ,           2.6,       1.35375, ,           2.6,      1.351312, ,           2.6,      1.341478, ,           2.6,      1.337747, ,           2.6,      1.335868, ,           2.6,      2.067849, ,           2.6,      1.888763, ,           2.6,      1.641349, ,           2.6,      1.612852, , 
          2.8,      1.506096, ,           2.8,      1.410114, ,           2.8,      2.258896, ,           2.8,      1.365837, ,           2.8,      1.352104, ,           2.8,      1.349585, ,           2.8,      1.339459, ,           2.8,      1.335622, ,           2.8,      1.333683, ,           2.8,      2.075485, ,           2.8,      1.896168, ,           2.8,      1.646888, ,           2.8,      1.617913, , 
            3,      1.510424, ,             3,      1.411337, ,             3,      2.265399, ,             3,      1.365046, ,             3,      1.350902, ,             3,        1.3483, ,             3,      1.337897, ,             3,       1.33396, ,             3,      1.331969, ,             3,      2.083933, ,             3,      1.904462, ,             3,      1.653334, ,             3,      1.623858, , 
          3.2,      1.515514, ,           3.2,      1.413341, ,           3.2,       2.27254, ,           3.2,      1.364724, ,           3.2,      1.350132, ,           3.2,       1.34744, ,           3.2,      1.336743, ,           3.2,      1.332705, ,           3.2,       1.33067, ,           3.2,      2.093181, ,           3.2,      1.913723, ,           3.2,       1.66088, ,           3.2,      1.630823, , 
          3.4,      1.521249, ,           3.4,      1.416101, ,           3.4,      2.280287, ,           3.4,      1.364826, ,           3.4,      1.349769, ,           3.4,      1.346986, ,           3.4,      1.335991, ,           3.4,      1.331851, ,           3.4,      1.329772, ,           3.4,      2.103235, ,           3.4,      1.924098, ,           3.4,      1.669808, ,           3.4,      1.639036, , 
          3.6,      1.527567, ,           3.6,      1.419815, ,           3.6,      2.288637, ,           3.6,      1.365431, ,           3.6,      1.349811, ,           3.6,      1.346921, ,           3.6,      1.335603, ,           3.6,      1.331363, ,           3.6,      1.329239, ,           3.6,      2.113924, ,           3.6,      1.935123, ,           3.6,      1.679319, ,           3.6,      1.647823, , 
