Alpha,T1-15.8 m/s-VLM2, , 
           -4,     0.6344398, , 
         -3.8,     0.6343176, , 
         -3.6,     0.6341911, , 
         -3.4,     0.6340607, , 
         -3.2,     0.6339266, , 
           -3,     0.6337891, , 
         -2.8,     0.6336485, , 
         -2.6,     0.6335049, , 
         -2.4,     0.6333585, , 
         -2.2,     0.6332097, , 
           -2,     0.6330584, , 
         -1.8,      0.632905, , 
         -1.6,     0.6327495, , 
         -1.4,     0.6325921, , 
         -1.2,      0.632433, , 
           -1,     0.6322723, , 
         -0.8,     0.6321101, , 
         -0.6,     0.6319465, , 
         -0.4,     0.6317817, , 
         -0.2,     0.6316157, , 
            0,     0.6314488, , 
          0.2,     0.6312809, , 
          0.4,     0.6311121, , 
          0.6,     0.6309426, , 
          0.8,     0.6307725, , 
            1,     0.6306018, , 
          1.2,     0.6304306, , 
          1.4,     0.6302589, , 
          1.6,     0.6300869, , 
          1.8,     0.6299147, , 
            2,     0.6297422, , 
          2.2,     0.6295696, , 
          2.4,     0.6293969, , 
          2.6,     0.6292242, , 
          2.8,     0.6290515, , 
            3,     0.6288789, , 
          3.2,     0.6287065, , 
          3.4,     0.6285343, , 
          3.6,     0.6283624, , 
          3.8,     0.6281908, , 
            4,     0.6280196, , 
          4.2,     0.6278488, , 

