Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,     0.5323893, ,            -4,     0.5323893, ,            -4,     0.5323893, , 
         -3.8,     0.5403536, ,          -3.8,     0.5403536, ,          -3.8,     0.5403536, , 
         -3.6,     0.5482994, ,          -3.6,     0.5482994, ,          -3.6,     0.5482994, , 
         -3.4,     0.5562264, ,          -3.4,     0.5562264, ,          -3.4,     0.5562264, , 
         -3.2,     0.5641342, ,          -3.2,     0.5641342, ,          -3.2,     0.5641342, , 
           -3,     0.5720225, ,            -3,     0.5720225, ,            -3,     0.5720225, , 
         -2.8,     0.5798911, ,          -2.8,     0.5798911, ,          -2.8,     0.5798911, , 
         -2.6,     0.5877397, ,          -2.6,     0.5877397, ,          -2.6,     0.5877397, , 
         -2.4,     0.5955679, ,          -2.4,     0.5955679, ,          -2.4,     0.5955679, , 
         -2.2,     0.6033755, ,          -2.2,     0.6033755, ,          -2.2,     0.6033755, , 
           -2,     0.6111621, ,            -2,     0.6111621, ,            -2,     0.6111621, , 
         -1.8,     0.6189275, ,          -1.8,     0.6189275, ,          -1.8,     0.6189275, , 
         -1.6,     0.6266713, ,          -1.6,     0.6266713, ,          -1.6,     0.6266713, , 
         -1.4,     0.6343934, ,          -1.4,     0.6343934, ,          -1.4,     0.6343934, , 
         -1.2,     0.6420933, ,          -1.2,     0.6420933, ,          -1.2,     0.6420933, , 
           -1,     0.6497708, ,            -1,     0.6497708, ,            -1,     0.6497708, , 
         -0.8,     0.6574256, ,          -0.8,     0.6574256, ,          -0.8,     0.6574256, , 
         -0.6,     0.6650574, ,          -0.6,     0.6650574, ,          -0.6,     0.6650574, , 
         -0.4,      0.672666, ,          -0.4,      0.672666, ,          -0.4,      0.672666, , 
         -0.2,      0.680251, ,          -0.2,      0.680251, ,          -0.2,      0.680251, , 
            0,     0.6878123, ,             0,     0.6878123, ,             0,     0.6878123, , 
          0.2,     0.6953494, ,           0.2,     0.6953494, ,           0.2,     0.6953494, , 
          0.4,     0.7028622, ,           0.4,     0.7028622, ,           0.4,     0.7028622, , 
          0.6,     0.7103503, ,           0.6,     0.7103503, ,           0.6,     0.7103503, , 
          0.8,     0.7178136, ,           0.8,     0.7178136, ,           0.8,     0.7178136, , 
            1,     0.7252517, ,             1,     0.7252517, ,             1,     0.7252517, , 
          1.2,     0.7326643, ,           1.2,     0.7326643, ,           1.2,     0.7326643, , 
          1.4,     0.7400512, ,           1.4,     0.7400512, ,           1.4,     0.7400512, , 
          1.6,     0.7474122, ,           1.6,     0.7474122, ,           1.6,     0.7474122, , 
          1.8,     0.7547469, ,           1.8,     0.7547469, ,           1.8,     0.7547469, , 
            2,     0.7620551, ,             2,     0.7620551, ,             2,     0.7620551, , 
          2.2,     0.7693367, ,           2.2,     0.7693367, ,           2.2,     0.7693367, , 
          2.4,     0.7765912, ,           2.4,     0.7765912, ,           2.4,     0.7765912, , 
          2.6,     0.7838185, ,           2.6,     0.7838185, ,           2.6,     0.7838185, , 
          2.8,     0.7910183, ,           2.8,     0.7910183, ,           2.8,     0.7910183, , 
            3,     0.7981903, ,             3,     0.7981903, ,             3,     0.7981903, , 
          3.2,     0.8053344, ,           3.2,     0.8053344, ,           3.2,     0.8053344, , 
          3.4,     0.8124503, ,           3.4,     0.8124503, ,           3.4,     0.8124503, , 
          3.6,     0.8195377, ,           3.6,     0.8195377, ,           3.6,     0.8195377, , 
          3.8,     0.8265964, ,           3.8,     0.8265964, ,           3.8,     0.8265964, , 
            4,     0.8336262, ,             4,     0.8336262, ,             4,     0.8336262, , 
          4.2,     0.8406268, ,           4.2,     0.8406268, ,           4.2,     0.8406268, , 
          4.4,     0.8475981, ,           4.4,     0.8475981, ,           4.4,     0.8475981, , 
          4.6,     0.8545397, ,           4.6,     0.8545397, ,           4.6,     0.8545397, , 
          4.8,     0.8614515, ,           4.8,     0.8614515, ,           4.8,     0.8614515, , 
            5,     0.8683332, ,             5,     0.8683332, ,             5,     0.8683332, , 
          5.2,     0.8751846, ,           5.2,     0.8751846, ,           5.2,     0.8751846, , 
          5.4,     0.8820055, ,           5.4,     0.8820055, ,           5.4,     0.8820055, , 
          5.6,     0.8887958, ,           5.6,     0.8887958, ,           5.6,     0.8887958, , 
          5.8,     0.8955551, ,           5.8,     0.8955551, ,           5.8,     0.8955551, , 
            6,     0.9022832, ,             6,     0.9022832, ,             6,     0.9022832, , 

