Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      5.457494, ,            -4,      5.393835, ,            -4,      5.618257, , 
         -3.8,      5.378453, ,          -3.8,      5.317771, ,          -3.8,      5.541445, , 
         -3.6,      5.303793, ,          -3.6,      5.240994, ,          -3.6,      5.468965, , 
         -3.4,      5.233228, ,          -3.4,      5.167867, ,          -3.4,      5.400561, , 
         -3.2,      5.166574, ,          -3.2,      5.101428, ,          -3.2,      5.335999, , 
           -3,      5.103485, ,            -3,      5.039846, ,            -3,      5.274823, , 
         -2.8,      5.043815, ,          -2.8,      4.976787, ,          -2.8,      5.216977, , 
         -2.6,      4.987329, ,          -2.6,      4.919323, ,          -2.6,      5.162463, , 
         -2.4,      4.933709, ,          -2.4,      4.866395, ,          -2.4,      5.110751, , 
         -2.2,      4.882907, ,          -2.2,      4.816636, ,          -2.2,      5.061937, , 
           -2,      4.834812, ,            -2,      4.769532, ,            -2,      5.015699, , 
         -1.8,      4.789244, ,          -1.8,      4.724829, ,          -1.8,      4.971857, , 
         -1.6,         4.746, ,          -1.6,      4.682445, ,          -1.6,      4.930322, , 
         -1.4,      4.704939, ,          -1.4,      4.638014, ,          -1.4,      4.891042, , 
         -1.2,      4.665966, ,          -1.2,      4.599176, ,          -1.2,      4.853861, , 
           -1,      4.628962, ,            -1,      4.562494, ,            -1,      4.818661, , 
         -0.8,      4.593912, ,          -0.8,      4.527867, ,          -0.8,      4.785331, , 
         -0.6,      4.560662, ,          -0.6,      4.495121, ,          -0.6,       4.75375, , 
         -0.4,       4.52917, ,          -0.4,      4.464182, ,          -0.4,      4.723848, , 
         -0.2,      4.499325, ,          -0.2,      4.434775, ,          -0.2,      4.695572, , 
            0,      4.471065, ,             0,      4.406872, ,             0,      4.668833, , 
          0.2,      4.444328, ,           0.2,      4.380457, ,           0.2,      4.643553, , 
          0.4,      4.419026, ,           0.4,      4.355389, ,           0.4,      4.619654, , 
          0.6,      4.395074, ,           0.6,      4.331691, ,           0.6,      4.597082, , 
          0.8,      4.372436, ,           0.8,      4.309249, ,           0.8,      4.575807, , 
            1,      4.351019, ,             1,      4.288056, ,             1,       4.55577, , 
          1.2,      4.330774, ,           1.2,      4.268024, ,           1.2,      4.536921, , 
          1.4,      4.311668, ,           1.4,      4.249138, ,           1.4,      4.519273, , 
          1.6,      4.293641, ,           1.6,      4.231355, ,           1.6,      4.502703, , 
          1.8,      4.276645, ,           1.8,      4.214591, ,           1.8,      4.487171, , 
            2,      4.260632, ,             2,      4.198786, ,             2,      4.472635, , 
          2.2,      4.245564, ,           2.2,      4.183876, ,           2.2,       4.45906, , 
          2.4,      4.231413, ,           2.4,      4.169847, ,           2.4,      4.446428, , 
          2.6,      4.218133, ,           2.6,      4.156672, ,           2.6,      4.434704, , 
          2.8,      4.205688, ,           2.8,       4.14428, ,           2.8,      4.423828, , 
            3,      4.194049, ,             3,      4.132655, ,             3,      4.413801, , 
          3.2,      4.183145, ,           3.2,      4.121757, ,           3.2,       4.40459, , 
          3.4,      4.172969, ,           3.4,      4.111569, ,           3.4,      4.396169, , 
          3.6,      4.163525, ,           3.6,      4.102091, ,           3.6,      4.388521, , 
          3.8,       4.15477, ,           3.8,      4.093284, ,           3.8,      4.381627, , 
            4,      4.146675, ,             4,      4.085133, ,             4,      4.375453, , 
          4.2,      4.139227, ,           4.2,      4.077608, ,           4.2,      4.369977, , 
          4.4,       4.13238, ,           4.4,      4.070693, ,           4.4,       4.36517, , 
          4.6,       4.12612, ,           4.6,      4.064352, ,           4.6,      4.361042, , 
          4.8,      4.120441, ,           4.8,      4.058535, ,           4.8,       4.35757, , 
            5,      4.115306, ,             5,      4.053231, ,             5,       4.35472, , 
          5.2,      4.110699, ,           5.2,      4.048443, ,           5.2,      4.352471, , 
          5.4,      4.106601, ,           5.4,      4.044119, ,           5.4,       4.35082, , 
          5.6,      4.103001, ,           5.6,       4.04024, ,           5.6,      4.349778, , 
          5.8,      4.099888, ,           5.8,       4.03681, ,           5.8,      4.349312, , 
            6,      4.097256, ,             6,      4.033815, ,             6,      4.349412, , 

