Alpha,T1-10.9 m/s-VLM2, , Alpha,T1-15.8 m/s-VLM2, , Alpha,T1-20.6 m/s-VLM2, , Alpha,T1-24.0 m/s-VLM2, , Alpha,T1-26.8 m/s-VLM2, , Alpha,T1-28.0 m/s-VLM2, , Alpha,T1-3.5 m/s-VLM2, , Alpha,T1-4.7 m/s-VLM2, , Alpha,T1-7.5 m/s-VLM2, , 
           -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, ,            -4,      0.635795, , 
         -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, ,          -3.8,     0.6356737, , 
         -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, ,          -3.6,     0.6355484, , 
         -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, ,          -3.4,     0.6354192, , 
         -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, ,          -3.2,     0.6352865, , 
           -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, ,            -3,     0.6351505, , 
         -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, ,          -2.8,     0.6350115, , 
         -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, ,          -2.6,     0.6348695, , 
         -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, ,          -2.4,      0.634725, , 
         -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, ,          -2.2,      0.634578, , 
           -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, ,            -2,     0.6344287, , 
         -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, ,          -1.8,     0.6342774, , 
         -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, ,          -1.6,     0.6341241, , 
         -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, ,          -1.4,      0.633969, , 
