Alpha,T1-15.8 m/s-VLM2, , 
           -3,      6.755686, , 
         -2.8,      6.719886, , 
         -2.6,      6.687668, , 
         -2.4,      6.658707, , 
         -2.2,      6.632874, , 
           -2,      6.610048, , 
         -1.8,      6.590061, , 
         -1.6,      6.572867, , 
         -1.4,      6.558341, , 
         -1.2,      6.546442, , 
           -1,      6.537147, , 
         -0.8,      6.530416, , 
         -0.6,      6.526188, , 
         -0.4,      6.524435, , 
         -0.2,      6.525147, , 
            0,      6.528255, , 
          0.2,        6.5337, , 
          0.4,      6.541477, , 
          0.6,      6.551485, , 
          0.8,      6.563718, , 
            1,      6.578052, , 
          1.2,      6.594459, , 
          1.4,      6.612813, , 
          1.6,      6.633039, , 
          1.8,      6.655038, , 
            2,      6.678716, , 
          2.2,      6.704027, , 
          2.4,      6.730875, , 
          2.6,      6.759299, , 
          2.8,       6.78921, , 
            3,      6.820576, , 
          3.2,      6.853307, , 
          3.4,      6.887418, , 
          3.6,      6.922968, , 
          3.8,       6.95994, , 
            4,      6.998314, , 
          4.2,       7.03819, , 
          4.4,      7.079641, , 
          4.6,       7.12261, , 
          4.8,       7.16724, , 
            5,      7.213632, , 
          5.2,      7.262009, , 
          5.4,      7.312524, , 
          5.6,      7.365515, , 
          5.8,      7.421287, , 
            6,      7.480172, , 
          6.2,      7.543121, , 
          6.4,      7.611528, , 
          6.6,      7.688638, , 
          6.8,      7.783721, , 
            7,      7.907085, , 
          7.2,      8.043611, , 

